"name","code_2019","category_2019","code_2018","category_2018","code_2017","category_2017","code_2016","category_2016","code_2015","category_2015","code_2014","category_2014"
"Thalassarche carteri",NA,NA,"EN","Endangered","EN","Endangered","EN","Endangered",NA,NA,NA,NA
"Thalassarche bulleri",NA,NA,"NT","Near Threatened","NT","Near Threatened","NT","Near Threatened",NA,NA,NA,NA
"Macronectes giganteus",NA,NA,"LC","Least Concern",NA,NA,"LC","Least Concern",NA,NA,NA,NA
"Macronectes halli",NA,NA,"LC","Least Concern",NA,NA,"LC","Least Concern",NA,NA,NA,NA
"Fulmarus glacialis",NA,NA,"LC","Least Concern","LC","Least Concern","LC","Least Concern",NA,NA,NA,NA
"Fulmarus glacialoides",NA,NA,"LC","Least Concern","LC","Least Concern","LC","Least Concern",NA,NA,NA,NA
"Thalassoica antarctica",NA,NA,"LC","Least Concern",NA,NA,"LC","Least Concern",NA,NA,NA,NA
"Daption capense",NA,NA,"LC","Least Concern","LC","Least Concern","LC","Least Concern",NA,NA,NA,NA
"Pagodroma nivea",NA,NA,"LC","Least Concern",NA,NA,"LC","Least Concern",NA,NA,NA,NA
"Halobaena caerulea",NA,NA,"LC","Least Concern",NA,NA,"LC","Least Concern",NA,NA,NA,NA
"Pachyptila vittata",NA,NA,"LC","Least Concern",NA,NA,"LC","Least Concern",NA,NA,NA,NA
"Pachyptila salvini",NA,NA,"LC","Least Concern",NA,NA,"LC","Least Concern",NA,NA,NA,NA
"Pachyptila desolata",NA,NA,"LC","Least Concern",NA,NA,"LC","Least Concern",NA,NA,NA,NA
"Pachyptila belcheri",NA,NA,"LC","Least Concern",NA,NA,"LC","Least Concern",NA,NA,NA,NA
"Pachyptila turtur",NA,NA,"LC","Least Concern",NA,NA,"LC","Least Concern",NA,NA,NA,NA
"Pachyptila crassirostris",NA,NA,"LC","Least Concern",NA,NA,"LC","Least Concern",NA,NA,NA,NA
"Aphrodroma brevirostris",NA,NA,"LC","Least Concern",NA,NA,"LC","Least Concern",NA,NA,NA,NA
"Pterodroma lessonii",NA,NA,"LC","Least Concern",NA,NA,"LC","Least Concern",NA,NA,NA,NA
"Pterodroma incerta","EN","Endangered","EN","Endangered",NA,NA,"EN","Endangered",NA,NA,NA,NA
"Pterodroma solandri","VU","Vulnerable","VU","Vulnerable",NA,NA,"VU","Vulnerable",NA,NA,NA,NA
"Pterodroma ultima","LC","Least Concern","NT","Near Threatened",NA,NA,"NT","Near Threatened",NA,NA,NA,NA
"Pterodroma mollis",NA,NA,"LC","Least Concern",NA,NA,"LC","Least Concern",NA,NA,NA,NA
"Pterodroma madeira",NA,NA,"EN","Endangered",NA,NA,"EN","Endangered",NA,NA,NA,NA
"Pterodroma cahow",NA,NA,"EN","Endangered",NA,NA,"EN","Endangered",NA,NA,NA,NA
"Pterodroma hasitata",NA,NA,"EN","Endangered",NA,NA,"EN","Endangered",NA,NA,NA,NA
